bb_time,dp_time,bb_opt,dp_opt
0.0020008087158203125,0.12002706527709961,3959,3959
0.0010004043579101562,0.06401419639587402,2431,2431
0.0010001659393310547,0.13202977180480957,4661,4661
0.0009999275207519531,0.09502172470092773,3054,3054
0.0010006427764892578,0.13102960586547852,4458,4458
0.002000570297241211,0.06501507759094238,2487,2487
0.0030002593994140625,0.07101607322692871,2271,2271
0.0010001659393310547,0.08401966094970703,2921,2921
0.0010001659393310547,0.12002706527709961,4193,4193
0.0,0.11902713775634766,4225,4225
0.002000570297241211,0.3490793704986572,11025,11025
0.0010001659393310547,0.28606510162353516,9335,9335
0.002001047134399414,0.23705410957336426,8026,8026
0.004000425338745117,0.2340531349182129,8030,8030
0.0030007362365722656,0.1940443515777588,6766,6766
0.0020003318786621094,0.26406002044677734,8785,8785
0.003000974655151367,0.23905444145202637,7975,7975
0.0010001659393310547,0.30006837844848633,9877,9877
0.0010001659393310547,0.29906773567199707,10207,10207
0.0010004043579101562,0.2180495262145996,7476,7476
